agency_responsible,count
AO - Calgary Parking Authority,359
Affiliated Organizations,129
CFOD - Assessment,3060
CFOD - Customer Services and Communications,58640
CFOD - Finance,342364
CFOD - Human Resources,3311
CFOD - Information Technology,97
CS - Calgary Community Standards,699939
CS - Calgary Emergency Management Agency,1905
CS - Calgary Fire,90762
CS - Calgary Housing,326
CS - Calgary Neighbourhoods,39708
CS - Calgary Parks,215971
CS - Calgary Recreation,49097
Corporate Wide Service Requests,19116
DCMO - Corporate Analytics and Innovation,13057
DCMO - Facility Management,1355
DCMO - Fleet Services,422
DCMO - Real Estate and Development Services,8687
DCMO - Supply,368
Elected Officials,5678
Environmental and Safety Management,5
LL - City Clerk's,10114
LL - City Manager's Office,266
LL - Law,12474
Office of the City Auditor,25
PD - Calgary Approvals Coordination,25
PD - Calgary Building Services,535911
PD - Calgary Growth Strategies,160
PD - Community Planning,1124
PD - Emergency Response,26
TRAN - Calgary Transit,103854
TRAN - Green Line,213
TRAN - Roads,605157
TRAN - Transportation Infrastructure,6260
TRAN - Transportation Planning,12135
UEP - Environmental and Safety Management,1693
UEP - Waste and Recycling Services,341222
UEP - Water Resources,19420
UEP - Water Services,264343
US - Urban Strategy,65
